vendor,current_price,old_price,product_name,month
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,14.3,16.25,"Certified Angus Beef, Strip Loin Steak",9
Loblaws,93.31,157.02,"Beef Tenderloin, Whole",9
Loblaws,93.31,157.02,"Beef Tenderloin, Whole",9
Loblaws,93.31,157.02,"Beef Tenderloin, Whole",9
Loblaws,93.31,157.02,"Beef Tenderloin, Whole",9
Loblaws,93.31,157.02,"Beef Tenderloin, Whole",9
Loblaws,6.54,7.35,"Beef Burgers, Whiskey & Cheddar Self Serve",9
Loblaws,6.54,7.35,"Beef Burgers, Whiskey & Cheddar Self Serve",9
Loblaws,6.54,7.35,"Beef Burgers, Whiskey & Cheddar Self Serve",9
Loblaws,6.54,7.35,"Beef Burgers, Whiskey & Cheddar Self Serve",9
